codigo,nome,indicador,unidade_geografica,nome_indicador,unidade_indicador,meta_oms,ano_recente,valor_recente,nascidos_vivos_recente,anos_validos,inclinacao_anual,projecao_2030,status_oms
11001,11001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,25.6673511293635,3896,4,-0.290947996447856,11.2978665808831,Meta atingida
11002,11002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,0,2708,4,-1.9983075849924,0,Meta atingida
11003,11003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,37.8000378000378,5291,4,0.69947759772598,79.5685909972685,Meta atingida
11004,11004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,46.455449224194,10763,4,1.68016144103038,93.6956189896769,Meta atingida
11005,11005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,147.20314033366,2038,4,10.6721148229635,299.922448636895,Fora do caminho
11006,11006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,40.551500405515,2466,4,1.57361430451998,56.2876434507152,Meta atingida
11007,11007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,132.978723404255,752,4,-10.0392946137627,0,No caminho
12001,12001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,72.992700729927,1370,4,2.95404529397381,102.533153669666,Fora do caminho
12002,12002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,58.0495356037152,10336,4,-0.227359163538384,46.6672168727619,Meta atingida
12003,12003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,56.8828213879409,5274,4,0.399835014415821,53.6629389138157,Meta atingida
13001,13001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,53.7478810931492,48374,4,-0.602396825522131,53.7157524448633,Meta atingida
13002,13002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,70.8717221828491,5644,4,2.56060342349987,131.33447615874,Fora do caminho
13003,13003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,93.4870676223123,3209,4,5.67582529689105,167.006969937518,Fora do caminho
13004,13004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,126.502213788741,3162,4,6.99186779591555,196.420891747895,Fora do caminho
13005,13005,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,61.6016427104723,4870,4,-11.4954121119146,0,Meta atingida
13006,13006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,167.644593461861,2386,4,-2.31643124970774,86.3588909363334,Fora do caminho
13007,13007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,68.1895669962496,2933,4,-10.0981964512013,0,Meta atingida
13008,13008,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,64.5161290322581,3100,4,0.742800646647852,85.6354346745616,Meta atingida
13009,13009,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,62.4902359006405,6401,4,-3.20757579678961,46.9000446908431,Meta atingida
14001,14001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,80.3858520900322,9952,4,-0.348916164780879,47.5272444035819,No caminho
14002,14002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,137.268359643102,1457,4,8.23610157858612,219.629375428962,Fora do caminho
15001,15001,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,51.2098322877993,7811,4,-0.0401621359751965,49.1517571282822,Meta atingida
15002,15002,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,52.4899940948757,15241,4,1.31359089559106,67.7691002423508,Meta atingida
15003,15003,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,53.3333333333333,16875,4,-4.84757142045032,0,Meta atingida
15004,15004,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,27.0599377621432,7391,4,-5.21451221126352,0,Meta atingida
15006,15006,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,67.0670365515349,32803,4,1.51448091943335,80.0955980794124,Meta atingida
15007,15007,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,81.0898475510866,6166,4,-1.01453546335676,45.9432523979513,No caminho
15008,15008,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,49.6102055279943,14110,4,-0.755943644064058,34.6056797139934,Meta atingida
15009,15009,maternal_per_100000,health_region,Maternal mortality,"per 100,000 live births",70,2015,67.2118292819536,8927,4,-0.176716050808805,73.9521828221404,Meta atingida
