codigo,nome,indicador,unidade_geografica,nome_indicador,unidade_indicador,meta_oms,ano_recente,valor_recente,nascidos_vivos_recente,anos_validos,inclinacao_anual,projecao_2030,status_oms
110001,Alta Floresta D'Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,268.096514745308,373,4,16.0857908847185,428.954423592495,Fora do caminho
110002,Ariquemes,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,56.0852495793606,1783,4,0.537593768352588,37.898510542811,Meta atingida
110003,Cabixi,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,86,4,0,0,Meta atingida
110004,Cacoal,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,1360,4,-3.5820895522388,0,Meta atingida
110005,Cerejeiras,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,277,4,0,0,Meta atingida
110006,Colorado do Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,251,4,-6.6225165562914,0,Meta atingida
110007,Corumbiara,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,111,4,0,0,Meta atingida
110008,Costa Marques,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,245,4,-20.2020202020202,0,Meta atingida
110009,Espigão D'Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,548,4,-5.03675178410428,0,Meta atingida
110010,Guajará-Mirim,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,831,4,-2.14362272240086,0,Meta atingida
110011,Jaru,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,788,4,0,0,Meta atingida
110012,Ji-Paraná,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,2094,4,0.242184264714096,113.875514690323,Meta atingida
110013,Machadinho D'Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,480,4,0,0,Meta atingida
110014,Nova Brasilândia D'Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,256,4,0,0,Meta atingida
110015,Ouro Preto do Oeste,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,767,4,-6.25000000000002,0,Meta atingida
110018,Pimenta Bueno,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,594,4,3.3112582781457,115.8940397351,Meta atingida
110020,Porto Velho,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,54.987352908831,9093,4,2.23965472039995,108.489726014769,Meta atingida
110025,Presidente Médici,maternal_per_100000,municipality,Maternal mortality,"per 100,000 live births",70,2015,0,262,4,0,0,Meta atingida
