health_region_code,year,measure_type,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
11001,2000,occurrence,4357,37,62,76,1,8.49208170759697,14.2299747532706,17.4431948588478,22.9515721826945
11001,2000,residence,4363,39,66,81,1,8.93880357552143,15.1272060508824,18.565207426083,22.9200091680037
11001,2005,occurrence,4355,28,38,51,0,6.42939150401837,8.7256027554535,11.7106773823192,0
11001,2005,residence,4388,36,53,67,1,8.20419325432999,12.0783956244303,15.2689152233364,22.7894257064722
11001,2010,occurrence,3746,28,35,40,0,7.47463961558996,9.34329951948745,10.6780565936999,0
11001,2010,residence,3801,39,54,60,0,10.2604577742699,14.2067876874507,15.785319652723,0
11001,2015,occurrence,3689,29,38,40,0,7.86120899972892,10.3008945513689,10.8430468961778,0
11001,2015,residence,3896,33,53,61,1,8.47022587268994,13.6036960985626,15.6570841889117,25.6673511293635
11002,2000,occurrence,3671,48,69,80,2,13.0754562789431,18.7959684009807,21.7924271315718,54.4810678289295
11002,2000,residence,3342,44,59,70,2,13.1657690005984,17.6540993417116,20.9455415918612,59.8444045481748
11002,2005,occurrence,3244,38,48,53,0,11.7139334155364,14.7965474722565,16.3378545006165,0
11002,2005,residence,2938,36,47,53,0,12.2532334921715,15.997277059224,18.0394826412526,0
11002,2010,occurrence,2624,18,24,28,3,6.85975609756098,9.14634146341463,10.6707317073171,114.329268292683
11002,2010,residence,2512,29,40,45,2,11.5445859872611,15.9235668789809,17.9140127388535,79.6178343949045
11002,2015,occurrence,2984,12,17,18,1,4.02144772117962,5.6970509383378,6.03217158176944,33.5120643431635
11002,2015,residence,2708,30,45,46,0,11.0782865583456,16.6174298375185,16.98670605613,0
11003,2000,occurrence,7539,112,161,178,2,14.8560817084494,21.355617455896,23.6105584294999,26.5287173365168
11003,2000,residence,7517,122,177,193,3,16.2298789410669,23.5466276440069,25.6751363575895,39.9095383796727
11003,2005,occurrence,5969,46,79,92,4,7.70648349807338,13.2350477466912,15.4129669961468,67.0128999832468
11003,2005,residence,5869,66,106,128,4,11.2455273470779,18.060998466519,21.8095075822116,68.1547111944113
11003,2010,occurrence,4377,29,45,54,0,6.62554260909299,10.2810143934202,12.3372172721042,0
11003,2010,residence,4568,58,90,102,5,12.6970227670753,19.7022767075306,22.3292469352014,109.457092819615
11003,2015,occurrence,5095,11,19,25,1,2.15897939156035,3.72914622178606,4.90677134445535,19.6270853778214
