municipality_code,year,measure_type,municipality_name,live_births,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,neonatal_per_1000,infant_per_1000,under5_per_1000,maternal_per_100000
110001,2000,occurrence,Alta Floresta D'Oeste,638,4,8,10,0,6.26959247648903,12.5391849529781,15.6739811912226,0
110001,2000,residence,Alta Floresta D'Oeste,617,5,10,12,0,8.10372771474878,16.2074554294976,19.4489465153971,0
110001,2005,occurrence,Alta Floresta D'Oeste,625,5,10,11,0,8,16,17.6,0
110001,2005,residence,Alta Floresta D'Oeste,553,7,12,13,0,12.6582278481013,21.6998191681736,23.5081374321881,0
110001,2010,occurrence,Alta Floresta D'Oeste,372,4,5,6,1,10.752688172043,13.4408602150538,16.1290322580645,268.817204301075
110001,2010,residence,Alta Floresta D'Oeste,452,8,10,12,0,17.6991150442478,22.1238938053097,26.5486725663717,0
110001,2015,occurrence,Alta Floresta D'Oeste,98,1,2,2,0,10.2040816326531,20.4081632653061,20.4081632653061,0
110001,2015,residence,Alta Floresta D'Oeste,373,5,7,8,1,13.4048257372654,18.7667560321716,21.4477211796247,268.096514745308
110002,2000,occurrence,Ariquemes,2689,20,36,45,1,7.43770918557084,13.3878765340275,16.7348456675344,37.1885459278542
110002,2000,residence,Ariquemes,2122,16,30,37,1,7.54005655042413,14.1376060320452,17.4363807728558,47.1253534401508
110002,2005,occurrence,Ariquemes,2552,12,16,23,0,4.70219435736677,6.26959247648903,9.01253918495298,0
110002,2005,residence,Ariquemes,1801,15,21,25,0,8.32870627429206,11.6601887840089,13.8811771238201,0
110002,2010,occurrence,Ariquemes,2417,25,29,32,0,10.3434009102193,11.9983450558544,13.2395531650807,0
110002,2010,residence,Ariquemes,1633,16,20,23,0,9.79791794243723,12.2473974280465,14.0845070422535,0
110002,2015,occurrence,Ariquemes,2129,26,31,32,0,12.2123062470643,14.5608266791921,15.0305307656177,0
110002,2015,residence,Ariquemes,1783,11,18,20,1,6.16937745372967,10.0953449242849,11.2170499158721,56.0852495793606
110003,2000,occurrence,Cabixi,94,2,2,2,0,21.2765957446809,21.2765957446809,21.2765957446809,0
110003,2000,residence,Cabixi,129,3,3,4,0,23.2558139534884,23.2558139534884,31.0077519379845,0
110003,2005,occurrence,Cabixi,89,0,0,0,0,0,0,0,0
110003,2005,residence,Cabixi,120,0,0,0,0,0,0,0,0
110003,2010,occurrence,Cabixi,108,0,0,1,0,0,0,9.25925925925926,0
110003,2010,residence,Cabixi,96,1,1,2,0,10.4166666666667,10.4166666666667,20.8333333333333,0
110003,2015,occurrence,Cabixi,6,0,0,0,0,0,0,0,0
110003,2015,residence,Cabixi,86,3,3,3,0,34.8837209302326,34.8837209302326,34.8837209302326,0
110004,2000,occurrence,Cacoal,2142,37,49,52,1,17.2735760971055,22.8758169934641,24.2763772175537,46.6853408029879
110004,2000,residence,Cacoal,1675,22,27,30,1,13.134328358209,16.1194029850746,17.910447761194,59.7014925373134
110004,2005,occurrence,Cacoal,1821,21,26,30,0,11.5321252059308,14.277869302581,16.4744645799012,0
110004,2005,residence,Cacoal,1406,18,21,23,0,12.8022759601707,14.9359886201991,16.3584637268848,0
110004,2010,occurrence,Cacoal,1515,11,14,16,2,7.26072607260726,9.24092409240924,10.5610561056106,132.013201320132
110004,2010,residence,Cacoal,1178,11,15,16,0,9.33786078098472,12.7334465195246,13.5823429541596,0
110004,2015,occurrence,Cacoal,1601,11,15,16,1,6.87070580886946,9.36914428482199,9.99375390381012,62.4609618988133
110004,2015,residence,Cacoal,1360,14,25,25,0,10.2941176470588,18.3823529411765,18.3823529411765,0
110005,2000,occurrence,Cerejeiras,247,1,2,2,0,4.04858299595142,8.09716599190283,8.09716599190283,0
110005,2000,residence,Cerejeiras,331,2,5,5,0,6.04229607250755,15.1057401812689,15.1057401812689,0
110005,2005,occurrence,Cerejeiras,398,1,3,3,0,2.51256281407035,7.53768844221106,7.53768844221106,0
110005,2005,residence,Cerejeiras,303,3,5,6,0,9.9009900990099,16.5016501650165,19.8019801980198,0
110005,2010,occurrence,Cerejeiras,156,0,0,1,0,0,0,6.41025641025641,0
110005,2010,residence,Cerejeiras,240,3,3,4,0,12.5,12.5,16.6666666666667,0
110005,2015,occurrence,Cerejeiras,194,1,1,1,0,5.15463917525773,5.15463917525773,5.15463917525773,0
110005,2015,residence,Cerejeiras,277,1,1,1,0,3.6101083032491,3.6101083032491,3.6101083032491,0
110006,2000,occurrence,Colorado do Oeste,528,4,5,8,0,7.57575757575758,9.46969696969697,15.1515151515152,0
110006,2000,residence,Colorado do Oeste,407,5,8,12,0,12.2850122850123,19.6560196560197,29.4840294840295,0
