municipality_code,year,measure_type,neonatal_deaths,infant_deaths,under5_deaths,maternal_deaths,municipality_name
120040,2000,residence,151,232,265,6,Rio Branco
120080,2000,residence,1,6,6,0,Porto Acre
120060,2000,residence,34,65,73,0,Tarauacá
120034,2000,residence,1,3,4,0,Manoel Urbano
120025,2000,residence,4,8,10,0,Epitaciolândia
120030,2000,residence,14,48,53,2,Feijó
120020,2000,residence,38,60,76,0,Cruzeiro do Sul
120010,2000,residence,1,4,6,0,Brasiléia
120070,2000,residence,3,4,8,0,Xapuri
120050,2000,residence,7,17,21,0,Sena Madureira
120045,2000,residence,5,10,12,0,Senador Guiomard
120001,2000,residence,2,6,8,0,Acrelândia
120038,2000,residence,1,3,5,0,Plácido de Castro
120017,2000,residence,1,2,2,0,Capixaba
120005,2000,residence,1,1,1,0,Assis Brasil
120033,2000,residence,2,4,5,0,Mâncio Lima
120013,2000,residence,1,1,1,0,Bujari
120035,2000,residence,1,1,2,0,Marechal Thaumaturgo
120042,2000,residence,0,0,1,0,Rodrigues Alves
120039,2000,residence,0,1,1,0,Porto Walter
120032,2000,residence,0,0,0,0,Jordão
120043,2000,residence,0,0,0,0,Santa Rosa do Purus
110002,2000,occurrence,20,36,45,1,Ariquemes
120080,2000,occurrence,0,3,3,0,Porto Acre
120060,2000,occurrence,34,65,72,0,Tarauacá
120040,2000,occurrence,170,264,309,5,Rio Branco
120030,2000,occurrence,14,48,52,2,Feijó
120025,2000,occurrence,1,3,3,0,Epitaciolândia
120038,2000,occurrence,1,2,3,0,Plácido de Castro
120050,2000,occurrence,2,9,12,0,Sena Madureira
120017,2000,occurrence,0,0,0,0,Capixaba
120045,2000,occurrence,1,5,6,0,Senador Guiomard
120001,2000,occurrence,1,4,5,0,Acrelândia
120070,2000,occurrence,2,2,4,0,Xapuri
120013,2000,occurrence,0,0,0,0,Bujari
120035,2000,occurrence,0,0,0,0,Marechal Thaumaturgo
120042,2000,occurrence,0,0,1,0,Rodrigues Alves
120039,2000,occurrence,0,0,0,0,Porto Walter
120010,2000,occurrence,2,6,9,0,Brasiléia
120020,2000,occurrence,38,60,77,0,Cruzeiro do Sul
120034,2000,occurrence,0,2,3,0,Manoel Urbano
120033,2000,occurrence,1,2,2,0,Mâncio Lima
120005,2000,occurrence,0,0,0,0,Assis Brasil
130260,2000,occurrence,899,1303,1506,30,Manaus
150140,2000,occurrence,822,1090,1259,14,Belém
354910,2000,occurrence,34,46,54,0,São João da Boa Vista
310620,2000,occurrence,753,1184,1374,19,Belo Horizonte
320520,2000,occurrence,89,116,128,3,Vila Velha
330455,2000,occurrence,1456,2200,2548,71,Rio de Janeiro
355030,2000,occurrence,2440,3887,4565,75,São Paulo
411690,2000,occurrence,4,5,7,0,Nova Esperança
410690,2000,occurrence,501,800,939,17,Curitiba
421690,2000,occurrence,5,10,11,0,São Lourenço do Oeste
500270,2000,occurrence,214,313,373,5,Campo Grande
510340,2000,occurrence,299,452,526,12,Cuiabá
520870,2000,occurrence,471,752,892,15,Goiânia
520140,2000,occurrence,43,58,66,2,Aparecida de Goiânia
530010,2000,occurrence,662,979,1148,22,Brasília
120045,2005,residence,7,9,9,0,Senador Guiomard
120035,2005,residence,0,5,6,0,Marechal Thaumaturgo
120050,2005,residence,11,21,24,1,Sena Madureira
120001,2005,residence,3,6,8,0,Acrelândia
120040,2005,residence,91,149,176,4,Rio Branco
120013,2005,residence,0,1,2,0,Bujari
120030,2005,residence,10,23,26,0,Feijó
120070,2005,residence,6,12,15,0,Xapuri
120020,2005,residence,16,42,53,1,Cruzeiro do Sul
120005,2005,residence,1,3,4,0,Assis Brasil
120010,2005,residence,8,8,11,0,Brasiléia
120038,2005,residence,1,5,9,0,Plácido de Castro
120042,2005,residence,1,3,6,0,Rodrigues Alves
120032,2005,residence,2,4,5,0,Jordão
120043,2005,residence,2,8,13,0,Santa Rosa do Purus
120025,2005,residence,4,6,7,1,Epitaciolândia
120034,2005,residence,1,3,3,0,Manoel Urbano
120017,2005,residence,2,5,6,0,Capixaba
120080,2005,residence,2,6,10,0,Porto Acre
120033,2005,residence,0,1,5,1,Mâncio Lima
120060,2005,residence,17,33,41,0,Tarauacá
120039,2005,residence,6,12,15,0,Porto Walter
120045,2005,occurrence,0,3,3,0,Senador Guiomard
120040,2005,occurrence,128,213,255,6,Rio Branco
120035,2005,occurrence,0,0,0,0,Marechal Thaumaturgo
120050,2005,occurrence,4,11,11,0,Sena Madureira
120001,2005,occurrence,1,1,1,0,Acrelândia
120010,2005,occurrence,5,5,7,0,Brasiléia
120032,2005,occurrence,2,3,4,0,Jordão
120043,2005,occurrence,2,5,9,0,Santa Rosa do Purus
120020,2005,occurrence,17,53,68,2,Cruzeiro do Sul
120070,2005,occurrence,1,7,9,0,Xapuri
120034,2005,occurrence,0,2,2,0,Manoel Urbano
120005,2005,occurrence,0,1,1,0,Assis Brasil
120038,2005,occurrence,1,4,8,0,Plácido de Castro
120017,2005,occurrence,0,1,1,0,Capixaba
120080,2005,occurrence,0,1,3,0,Porto Acre
120025,2005,occurrence,0,1,2,0,Epitaciolândia
120030,2005,occurrence,10,21,23,0,Feijó
120013,2005,occurrence,0,0,0,0,Bujari
120033,2005,occurrence,0,0,3,0,Mâncio Lima
120042,2005,occurrence,0,1,2,0,Rodrigues Alves
120039,2005,occurrence,5,10,12,0,Porto Walter
120060,2005,occurrence,16,31,39,0,Tarauacá
130260,2005,occurrence,468,765,897,23,Manaus
230440,2005,occurrence,808,1323,1521,51,Fortaleza
530010,2005,occurrence,561,867,991,31,Brasília
520870,2005,occurrence,544,778,892,15,Goiânia
520140,2005,occurrence,62,82,87,0,Aparecida de Goiânia
210005,2005,occurrence,12,23,33,1,Açailândia
317020,2005,occurrence,100,145,178,2,Uberlândia
510340,2005,occurrence,263,425,487,18,Cuiabá
410310,2005,occurrence,0,0,0,0,Bocaiúva do Sul
330455,2005,occurrence,968,1478,1757,38,Rio de Janeiro
110020,2005,occurrence,196,275,322,9,Porto Velho
430463,2005,occurrence,1,2,3,0,Capão da Canoa
355030,2005,occurrence,1778,2768,3248,49,São Paulo
354980,2005,occurrence,85,146,169,1,São José do Rio Preto
354990,2005,occurrence,95,124,144,2,São José dos Campos
350330,2005,occurrence,18,25,29,0,Araras
120040,2010,residence,77,117,138,1,Rio Branco
120042,2010,residence,5,5,5,0,Rodrigues Alves
120020,2010,residence,19,25,29,2,Cruzeiro do Sul
120070,2010,residence,6,7,11,0,Xapuri
120033,2010,residence,4,4,5,0,Mâncio Lima
120030,2010,residence,7,16,20,0,Feijó
120045,2010,residence,2,3,5,1,Senador Guiomard
120080,2010,residence,6,9,10,1,Porto Acre
120025,2010,residence,3,7,7,0,Epitaciolândia
120034,2010,residence,4,6,6,0,Manoel Urbano
120038,2010,residence,1,2,6,0,Plácido de Castro
120013,2010,residence,2,4,4,0,Bujari
120039,2010,residence,3,4,5,0,Porto Walter
120005,2010,residence,3,3,3,0,Assis Brasil
120060,2010,residence,11,22,25,0,Tarauacá
120010,2010,residence,6,6,8,0,Brasiléia
120032,2010,residence,3,8,11,0,Jordão
120050,2010,residence,11,18,19,1,Sena Madureira
120035,2010,residence,2,5,8,0,Marechal Thaumaturgo
120017,2010,residence,2,2,2,0,Capixaba
120001,2010,residence,3,6,6,0,Acrelândia
120043,2010,residence,1,8,8,0,Santa Rosa do Purus
120040,2010,occurrence,124,193,221,3,Rio Branco
