municipality_code,year,measure_type,live_births,municipality_name
120040,2000,residence,8287,Rio Branco
120001,2000,residence,156,Acrelândia
120013,2000,residence,30,Bujari
120045,2000,residence,319,Senador Guiomard
120017,2000,residence,53,Capixaba
120050,2000,residence,690,Sena Madureira
120038,2000,residence,356,Plácido de Castro
120060,2000,residence,257,Tarauacá
120080,2000,residence,62,Porto Acre
120020,2000,residence,2424,Cruzeiro do Sul
120070,2000,residence,362,Xapuri
120030,2000,residence,471,Feijó
120034,2000,residence,147,Manoel Urbano
120025,2000,residence,250,Epitaciolândia
120043,2000,residence,1,Santa Rosa do Purus
120010,2000,residence,462,Brasiléia
120033,2000,residence,313,Mâncio Lima
120005,2000,residence,111,Assis Brasil
120032,2000,residence,3,Jordão
120035,2000,residence,152,Marechal Thaumaturgo
120039,2000,residence,84,Porto Walter
120042,2000,residence,236,Rodrigues Alves
120040,2000,occurrence,8735,Rio Branco
120080,2000,occurrence,14,Porto Acre
120030,2000,occurrence,461,Feijó
120060,2000,occurrence,258,Tarauacá
120034,2000,occurrence,137,Manoel Urbano
120010,2000,occurrence,690,Brasiléia
120025,2000,occurrence,5,Epitaciolândia
120070,2000,occurrence,354,Xapuri
130150,2000,occurrence,343,Envira
120038,2000,occurrence,379,Plácido de Castro
120050,2000,occurrence,668,Sena Madureira
120035,2000,occurrence,139,Marechal Thaumaturgo
120039,2000,occurrence,79,Porto Walter
120042,2000,occurrence,229,Rodrigues Alves
120020,2000,occurrence,2487,Cruzeiro do Sul
120001,2000,occurrence,66,Acrelândia
120033,2000,occurrence,319,Mâncio Lima
130165,2000,occurrence,120,Guajará
120017,2000,occurrence,2,Capixaba
120045,2000,occurrence,196,Senador Guiomard
120005,2000,occurrence,110,Assis Brasil
130340,2000,occurrence,2392,Parintins
240710,2000,occurrence,1580,Macaíba
316990,2000,occurrence,1275,Ubá
330455,2000,occurrence,104350,Rio de Janeiro
411460,2000,occurrence,857,Marechal Cândido Rondon
410690,2000,occurrence,38833,Curitiba
411840,2000,occurrence,1398,Paranavaí
510775,2000,occurrence,57,Salto do Céu
510250,2000,occurrence,2043,Cáceres
510340,2000,occurrence,13287,Cuiabá
110028,2000,occurrence,1536,Rolim de Moura
110033,2000,occurrence,209,Nova Mamoré
110010,2000,occurrence,1249,Guajará-Mirim
120010,2005,residence,496,Brasiléia
120025,2005,residence,268,Epitaciolândia
120070,2005,residence,437,Xapuri
120005,2005,residence,202,Assis Brasil
120017,2005,residence,199,Capixaba
120050,2005,residence,1016,Sena Madureira
120038,2005,residence,398,Plácido de Castro
120045,2005,residence,357,Senador Guiomard
120040,2005,residence,7288,Rio Branco
120001,2005,residence,243,Acrelândia
120080,2005,residence,233,Porto Acre
120013,2005,residence,125,Bujari
120035,2005,residence,306,Marechal Thaumaturgo
120033,2005,residence,395,Mâncio Lima
120042,2005,residence,532,Rodrigues Alves
120030,2005,residence,823,Feijó
120034,2005,residence,195,Manoel Urbano
120043,2005,residence,128,Santa Rosa do Purus
120032,2005,residence,120,Jordão
120020,2005,residence,2112,Cruzeiro do Sul
120060,2005,residence,1210,Tarauacá
120039,2005,residence,399,Porto Walter
120010,2005,occurrence,784,Brasiléia
120045,2005,occurrence,274,Senador Guiomard
120040,2005,occurrence,8722,Rio Branco
120035,2005,occurrence,239,Marechal Thaumaturgo
120033,2005,occurrence,352,Mâncio Lima
120025,2005,occurrence,7,Epitaciolândia
120043,2005,occurrence,127,Santa Rosa do Purus
120001,2005,occurrence,34,Acrelândia
120032,2005,occurrence,101,Jordão
120013,2005,occurrence,8,Bujari
120038,2005,occurrence,196,Plácido de Castro
120042,2005,occurrence,382,Rodrigues Alves
120020,2005,occurrence,2602,Cruzeiro do Sul
120030,2005,occurrence,812,Feijó
120060,2005,occurrence,1213,Tarauacá
120034,2005,occurrence,181,Manoel Urbano
120017,2005,occurrence,11,Capixaba
120005,2005,occurrence,140,Assis Brasil
120039,2005,occurrence,331,Porto Walter
120080,2005,occurrence,1,Porto Acre
120050,2005,occurrence,934,Sena Madureira
120070,2005,occurrence,381,Xapuri
130165,2005,occurrence,280,Guajará
231290,2005,occurrence,7174,Sobral
530010,2005,occurrence,55899,Brasília
500270,2005,occurrence,13738,Campo Grande
510340,2005,occurrence,13620,Cuiabá
510250,2005,occurrence,2249,Cáceres
261618,2005,occurrence,698,Vertente do Lério
410760,2005,occurrence,405,Faxinal
410690,2005,occurrence,33543,Curitiba
110004,2005,occurrence,1821,Cacoal
110020,2005,occurrence,7868,Porto Velho
355030,2005,occurrence,194653,São Paulo
170550,2005,occurrence,968,Colinas do Tocantins
520140,2005,occurrence,5288,Aparecida de Goiânia
520540,2005,occurrence,1098,Ceres
520870,2005,occurrence,27299,Goiânia
120040,2010,residence,6437,Rio Branco
120001,2010,residence,234,Acrelândia
120005,2010,residence,252,Assis Brasil
120010,2010,residence,475,Brasiléia
120025,2010,residence,253,Epitaciolândia
120070,2010,residence,298,Xapuri
120013,2010,residence,185,Bujari
120017,2010,residence,191,Capixaba
120033,2010,residence,409,Mâncio Lima
120035,2010,residence,419,Marechal Thaumaturgo
120039,2010,residence,351,Porto Walter
120020,2010,residence,1724,Cruzeiro do Sul
120042,2010,residence,456,Rodrigues Alves
120060,2010,residence,1214,Tarauacá
120030,2010,residence,927,Feijó
120032,2010,residence,259,Jordão
120034,2010,residence,212,Manoel Urbano
120038,2010,residence,336,Plácido de Castro
120045,2010,residence,364,Senador Guiomard
120050,2010,residence,961,Sena Madureira
120043,2010,residence,205,Santa Rosa do Purus
120080,2010,residence,333,Porto Acre
110002,2010,occurrence,2417,Ariquemes
110011,2010,occurrence,1005,Jaru
110030,2010,occurrence,1790,Vilhena
120001,2010,occurrence,42,Acrelândia
120005,2010,occurrence,167,Assis Brasil
120010,2010,occurrence,731,Brasiléia
120013,2010,occurrence,4,Bujari
120017,2010,occurrence,4,Capixaba
120020,2010,occurrence,2618,Cruzeiro do Sul
120042,2010,occurrence,166,Rodrigues Alves
120060,2010,occurrence,1224,Tarauacá
120025,2010,occurrence,10,Epitaciolândia
120030,2010,occurrence,905,Feijó
120032,2010,occurrence,221,Jordão
120033,2010,occurrence,292,Mâncio Lima
120034,2010,occurrence,126,Manoel Urbano
120050,2010,occurrence,959,Sena Madureira
120035,2010,occurrence,289,Marechal Thaumaturgo
120038,2010,occurrence,91,Plácido de Castro
120039,2010,occurrence,240,Porto Walter
120040,2010,occurrence,8424,Rio Branco
120043,2010,occurrence,176,Santa Rosa do Purus
120045,2010,occurrence,101,Senador Guiomard
120070,2010,occurrence,190,Xapuri
120080,2010,occurrence,3,Porto Acre
130070,2010,occurrence,561,Boca do Acre
355030,2010,occurrence,191575,São Paulo
510125,2010,occurrence,404,Araputanga
530010,2010,occurrence,55185,Brasília
110020,2010,occurrence,8943,Porto Velho
330455,2010,occurrence,86878,Rio de Janeiro
